c_estate,e_estate,pc_addr,pe_addr,scp_mktc,scp_mkte,min_opdate,max_opdate,blgcount,pc_dev,pe_dev,facilities_c,facilities_e,url
畢架山一號,ONE BEACON HILL,畢架山1號,1 BEACON HILL ROAD,九龍,KL,2004,2004,16,長江,CK HUTCHISON,室內泳池、室外泳池、健身室、桑拿浴室、桌球室、電影院、音樂室、宴會廳,Indoor Swimming Pool、Swimming Pool、Gymnasium、Saunna Room、Snooker Room、Movie Theater、Music Room、Ball Room,http://hk.centadata.com/ptest.aspx?type=3&code=EDPPWPPJPS&ref=OpenData
君頤峰,PARC PALAIS,京士柏衛理道18號,18 KING'S PARK WYLIE ROAD,九龍,KL,2004,2004,8,新世界/信和/九龍倉/華人置業/萬泰,NEW WORLD/SINO GROUP/THE WHARF/CHINESE ESTATES/MANHATTAN GARMENTS,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、桑拿浴室、網球場、桌球室、閱讀室 / 溫習室、宴會廳、更衣室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Saunna Room、Tennis Court、Snooker Room、Reading/Study Room、Ball Room、Changing Room,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPEPG&ref=OpenData
港灣豪庭,METRO HARBOUR VIEW,福利街8號,8 FUK LEE STREET,九龍,KL,2003,2003,10,恆基/香港小輪,HENDERSON/HONG KONG FERRY,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、羽毛球場、桌球室、保齡球場、卡拉OK室、音樂室、閱讀室 / 溫習室、圖書館、宴會廳、舞蹈室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Badminton Court、Snooker Room、Bowling、Karaoke Room、Music Room、Reading/Study Room、Library、Ball Room、Dance Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=3&code=EEPPWPPEPS&ref=OpenData
柏景灣,PARK AVENUE,海庭道18號,18 HOI TING ROAD,九龍,KL,2001,2001,9,信和/港鐵,SINO/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、桌球室、高爾夫球練習場、浴足池 / 健足按摩室、健康舞室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Golf Driving Range、Foot Massage、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EEPPWPPEPW&ref=OpenData
維港灣,ISLAND HARBOURVIEW,海輝道11號,11 HOI FAI ROAD,九龍,KL,2000,2000,9,信和置業/中銀香港/星展銀行/嘉里建設/港鐵,SINO GROUP/BOC/DBS/KERRY/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、桌球室、高爾夫球練習場、健康舞室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Snooker Room、Golf Driving Range、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPJPW&ref=OpenData
君匯港,HARBOUR GREEN,海暉道,HOI FAI ROAD,九龍,KL,2006,2006,5,新鴻基/香港鐵路,SUN HUNG KAI/MTR,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、桌球室、卡拉OK室、音樂室、閱讀室 / 溫習室、宴會廳、美容中心、園林花園、空中花園、休憩雅座、多用途活動室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Snooker Room、Karaoke Room、Music Room、Reading/Study Room、Ball Room、Beauty Salon、Landscape Garden、Sky Garden、Open Lounge、Multi-purpose Room,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPYPW&ref=OpenData
泓景臺,BANYAN GARDEN,荔枝角道863號,863 LAI CHI KOK ROAD,九龍,KL,2003,2004,7,長江,CK HUTCHISON,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、乒乓球室、壁球場、籃球場、桌球室、卡拉OK室、電影院、可養狗、音樂室、閱讀室 / 溫習室、圖書館、電腦室、緩跑徑、宴會廳、健康舞室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Table Tennis、Squash Court、Basketball Court、Snooker Room、Karaoke Room、Movie Theater、Pet Friendly、Music Room、Reading/Study Room、Library、Computer Room、Jogging Trail、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EGPPWPPEPK&ref=OpenData
曼克頓山,MANHATTAN HILL,寶輪街1號,1 PO LUN STREET,九龍,KL,2006,2006,5,新鴻基,SUN HUNG KAI,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、蒸氣浴室、乒乓球室、桌球室、電影院、音樂室、宴會廳、美容中心、柔道 / 瑜伽練習室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Steam Bath Room、Table Tennis、Snooker Room、Movie Theater、Music Room、Ball Room、Beauty Salon、Judo/Yoga Room,http://hk.centadata.com/ptest.aspx?type=2&code=EGPPWPPEPP&ref=OpenData
昇悅居,LIBERTE,荔枝角道833號,833 LAI CHI KOK ROAD,九龍,KL,2003,2003,7,新鴻基/信德,SUN HUNG KAI/SHUN TAK,室內泳池、室外泳池、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、網球場、桌球室、保齡球場、電影院、燒烤場、高爾夫球練習場、圖書館、浴足池 / 健足按摩室、緩跑徑、宴會廳、美容中心、舞蹈室,Indoor Swimming Pool、Swimming Pool、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Tennis Court、Snooker Room、Bowling、Movie Theater、Barbecue Area、Golf Driving Range、Library、Foot Massage、Jogging Trail、Ball Room、Beauty Salon、Dance Studio,http://hk.centadata.com/ptest.aspx?type=2&code=EGPPWPPJPK&ref=OpenData
傲雲峰,SKY TOWER,宋皇臺道38號,38 SUNG WONG TOI ROAD,九龍,KL,2004,2004,6,新世界/長江/上海實業,NEW WORLD/CK HUTCHISON/SHANGHAI IND INV,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、籃球場、羽毛球場、桌球室、卡拉OK室、電影院、音樂室、閱讀室 / 溫習室、電腦室、健康舞室、麻雀房、平台花園,Swimming Pool、Children's Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Basketball Court、Badminton Court、Snooker Room、Karaoke Room、Movie Theater、Music Room、Reading/Study Room、Computer Room、Aerobic Studio、Marjong、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=EKPPWPPEPE&ref=OpenData
